frame,cx,cy,x,y,w,h,area,detected
408,519,240,506,232,28,19,196,1
408,509,249,504,245,13,11,99,1
409,519,240,506,232,28,19,196,1
409,509,249,504,245,13,11,99,1
410,699,242,689,229,25,26,202,1
411,703,246,685,206,36,87,2052,1
412,703,246,685,206,36,87,2052,1
412,731,268,721,247,26,41,357,1
413,703,246,685,206,36,87,2052,1
413,731,268,721,247,26,41,357,1
414,703,246,685,206,36,87,2052,1
414,731,268,721,247,26,41,357,1
414,469,274,464,262,15,21,111,1
414,451,282,443,274,17,17,124,1
414,470,290,464,286,13,12,82,1
415,703,246,685,206,36,87,2052,1
415,731,268,721,247,26,41,357,1
415,469,274,464,262,15,21,111,1
415,451,282,443,274,17,17,124,1
415,470,290,464,286,13,12,82,1
416,703,246,685,206,36,87,2052,1
416,731,268,721,247,26,41,357,1
416,469,274,464,262,15,21,111,1
416,451,282,443,274,17,17,124,1
416,470,290,464,286,13,12,82,1
417,703,246,685,206,36,87,2037,1
417,731,268,721,247,26,41,357,1
417,469,274,464,262,15,21,111,1
417,451,282,443,274,17,17,124,1
417,470,290,464,286,13,12,82,1
418,731,268,721,247,26,41,357,1
418,469,274,464,262,15,21,111,1
418,451,282,443,274,17,17,124,1
418,470,290,464,286,13,12,82,1
419,469,274,464,262,15,21,111,1
419,451,282,443,274,17,17,124,1
419,470,290,464,286,13,12,82,1
420,536,244,528,239,16,14,106,1
420,469,274,464,262,15,21,111,1
420,451,282,443,274,17,17,124,1
420,470,290,464,286,13,12,82,1
421,536,244,528,239,16,14,106,1
422,536,244,528,239,16,14,106,1
423,536,244,528,239,16,14,106,1
424,536,244,528,239,16,14,106,1
425,536,244,528,239,16,14,106,1
425,701,290,673,261,57,64,1058,1
426,536,244,528,239,16,14,106,1
426,706,294,673,261,64,70,1401,1
427,710,296,673,261,72,70,1608,1
428,710,296,673,261,72,70,1608,1
429,710,296,673,261,72,70,1608,1
430,710,296,673,261,72,70,1608,1
431,710,296,673,261,72,70,1608,1
432,723,305,702,279,43,52,847,1
433,734,311,724,299,21,30,210,1
435,515,219,507,206,17,27,270,1
435,535,239,528,232,13,19,153,1
436,515,219,507,206,17,27,270,1
436,535,239,528,232,13,19,153,1
437,515,219,507,206,17,27,270,1
437,535,239,528,232,13,19,153,1
438,723,93,719,82,9,23,82,1
438,515,219,507,206,17,27,270,1
438,535,239,528,232,13,19,153,1
439,723,93,719,82,9,23,82,1
439,515,219,507,206,17,27,270,1
439,535,239,528,232,13,19,153,1
440,723,93,719,82,9,23,82,1
440,515,219,507,206,17,27,270,1
440,535,239,528,232,13,19,153,1
441,723,93,719,82,9,23,82,1
441,515,219,507,206,17,27,270,1
441,535,239,528,232,13,19,153,1
442,723,93,719,82,9,23,82,1
443,723,93,719,82,9,23,82,1
449,524,216,520,207,8,17,86,1
450,524,216,520,207,8,17,86,1
450,594,246,585,234,17,27,300,1
451,791,187,780,176,19,21,164,1
451,752,193,736,189,36,11,116,1
451,524,216,520,207,8,17,86,1
451,594,246,585,234,17,27,300,1
452,791,187,780,176,19,21,164,1
452,752,193,736,189,36,11,116,1
452,524,216,520,207,8,17,86,1
452,594,246,585,234,17,27,300,1
452,691,293,669,280,47,28,574,1
453,791,187,780,176,19,21,164,1
453,752,193,736,189,36,11,116,1
453,524,216,520,207,8,17,86,1
453,594,246,585,234,17,27,313,1
453,697,295,669,276,54,39,912,1
454,791,187,780,176,19,21,164,1
454,752,193,736,189,36,11,116,1
454,524,216,520,207,8,17,86,1
454,594,246,585,234,17,27,313,1
454,702,297,669,276,66,45,1224,1
455,791,187,780,176,19,21,164,1
455,752,193,736,189,36,11,116,1
455,524,216,520,207,8,17,86,1
455,594,246,585,234,17,27,313,1
455,704,298,669,276,72,46,1349,1
456,791,187,780,176,19,21,164,1
456,752,193,736,189,36,11,116,1
456,594,245,586,234,17,27,303,1
456,706,298,669,276,72,46,1430,1
457,791,187,780,176,19,21,164,1
457,752,193,736,189,36,11,116,1
457,591,250,586,244,13,12,96,1
457,706,298,669,276,72,46,1430,1
458,591,250,586,244,13,12,96,1
458,706,298,669,276,72,46,1430,1
459,591,250,586,244,13,12,96,1
459,711,300,679,276,62,46,1173,1
460,698,285,690,280,19,12,117,1
460,724,296,713,289,22,16,149,1
460,728,312,718,300,23,22,287,1
461,724,298,713,289,22,18,205,1
462,726,299,719,291,16,16,153,1
469,503,228,497,220,12,16,92,1
470,503,228,497,220,12,16,92,1
470,562,264,556,259,11,12,94,1
471,503,228,497,220,12,16,92,1
471,562,264,556,259,11,12,94,1
472,503,228,497,220,12,16,92,1
472,562,264,556,259,11,12,94,1
473,503,228,497,220,12,16,92,1
473,761,269,711,250,96,51,2329,1
473,562,264,556,259,11,12,94,1
474,503,228,497,220,12,16,92,1
474,761,269,711,250,96,51,2329,1
474,562,264,556,259,11,12,94,1
475,503,228,497,220,12,16,92,1
475,761,269,711,250,96,51,2329,1
475,562,264,556,259,11,12,94,1
476,761,269,711,250,96,51,2329,1
476,562,264,556,259,11,12,94,1
477,761,269,711,250,96,51,2329,1
478,761,269,711,250,96,51,2329,1
479,762,270,711,250,96,51,2287,1
480,735,210,731,204,12,12,88,1
480,738,267,732,261,15,14,82,1
481,735,210,731,204,12,12,88,1
481,753,247,745,232,18,32,403,1
481,738,267,732,261,15,14,82,1
482,735,210,731,204,12,12,88,1
482,758,261,745,232,27,62,1111,1
482,738,267,732,261,15,14,82,1
483,735,210,731,204,12,12,88,1
483,758,261,745,232,27,62,1111,1
483,738,267,732,261,15,14,82,1
484,735,210,731,204,12,12,88,1
484,758,261,745,232,27,62,1111,1
484,738,267,732,261,15,14,82,1
